County,County Code,Population
Adams ,1,28550
Allen ,3,106331
Ashland ,5,53139
Ashtabula ,7,101497
Athens ,9,64757
Auglaize ,11,45949
Belmont ,13,70400
Brown ,15,44846
Butler ,17,368130
Carroll ,19,28836
Champaign ,21,40097
Clark ,23,138333
Clermont ,25,197363
Clinton ,27,42040
Columbiana ,29,107841
Coshocton ,31,36901
Crawford ,33,43784
Cuyahoga ,35,1249352
Darke ,37,52959
Defiance ,39,39037
Delaware ,41,174214
Erie ,43,77079
Fairfield ,45,146156
Fayette ,47,29030
Franklin ,49,1264518
Fulton ,51,42698
Gallia ,53,30934
Geauga ,55,93389
Greene ,57,161573
Guernsey ,59,40087
Hamilton ,61,802374
Hancock ,63,74782
Hardin ,65,32058
Harrison ,67,15864
Henry ,69,28215
Highland ,71,43589
Hocking ,73,29380
Holmes ,75,42366
Huron ,77,59626
Jackson ,79,33225
Jefferson ,81,69709
Knox ,83,60921
Lake ,85,230041
Lawrence ,87,62450
Licking ,89,166492
Logan ,91,45858
Lorain ,93,301356
Lucas ,95,441815
Madison ,97,43435
Mahoning ,99,238823
Marion ,101,66501
Medina ,103,176395
Meigs ,105,23770
Mercer ,107,40814
Miami ,109,102506
Monroe ,111,14642
Montgomery ,113,535153
Morgan ,115,15054
Morrow ,117,34827
Muskingum ,119,86074
Noble ,121,14645
Ottawa ,123,41428
Paulding ,125,19614
Perry ,127,36058
Pickaway ,129,55698
Pike ,131,28709
Portage ,133,161419
Preble ,135,42270
Putnam ,137,34499
Richland ,139,124475
Ross ,141,78064
Sandusky ,143,60944
Scioto ,145,79499
Seneca ,147,56745
Shelby ,149,49423
Stark ,151,375586
Summit ,153,541781
Trumbull ,155,210312
Tuscarawas ,157,92582
Union ,159,52300
Van Wert ,161,28744
Vinton ,163,13435
Warren ,165,212693
Washington ,167,61778
Wayne ,169,114520
Williams ,171,37642
Wood ,173,125488
Wyandot ,175,22615
